,lat,lon,labels
1331,28.5576059,77.1591857,12
1332,28.5576249,77.2453629,2
1333,28.5576373,77.2057891,11
1334,28.5576402,77.1610447,12
1335,28.5576442,77.2070598,11
1336,28.557687,77.206402,11
1337,28.5576972,77.2087851,11
1338,28.5577126,77.2086898,11
1339,28.5577887,77.2081652,11
1340,28.5577985,77.208079,11
1341,28.5578048,77.263806,14
1342,28.5578099,77.2119665,11
1343,28.5578263,77.2079849,11
1344,28.5578343,77.1633987,12
1345,28.5578353,77.1643785,12
1346,28.5578459,77.1645488,12
1347,28.5578559,77.1644557,12
1348,28.5578612,77.2077905,11
1349,28.5579101,77.1641066,12
1350,28.5579851,77.164279,12
1351,28.5580215,77.1640597,12
1352,28.558033,77.1642722,12
1353,28.5580982,77.1640421,12
1354,28.5581734,77.1640171,12
1355,28.558338,77.173671,13
1356,28.5583725,77.2357765,2
1357,28.5583896,77.1639839,12
1358,28.5583955,77.162534,12
1359,28.5583994,77.2064208,11
1360,28.5584543,77.1067343,-1
1361,28.5585798,77.2346822,2
1362,28.558607,77.1639121,12
1363,28.5586074,77.1638857,12
1364,28.5586179,77.2389466,2
1365,28.5586222,77.2346178,2
1366,28.5587078,77.2406397,2
1367,28.5588367,77.2465627,2
1368,28.5588615,77.0623935,-1
1369,28.5589426,77.2343067,2
1370,28.5590342,77.1709638,12
1371,28.5590843,77.1638296,12
1372,28.5591636,77.2402846,2
1373,28.5591641,77.1913817,11
1374,28.5592653,77.2066508,11
1375,28.5594075,77.244154,2
1376,28.5594484,77.1963657,11
1377,28.5594777,77.1970972,11
1378,28.5595292,77.232152,2
1379,28.5595408,77.2423721,2
1380,28.5595428,77.1703948,12
1381,28.5595875,77.2616067,14
1382,28.5596341,77.2427757,2
1383,28.5596993,77.2429986,2
1384,28.559779,77.2433169,2
1385,28.5599018,77.2069708,11
1386,28.5600369,77.2051383,11
1387,28.5600678,77.2001513,11
1388,28.5602327,76.8655177,-1
1389,28.5602501,77.2734654,14
1390,28.5603226,77.2667188,14
1391,28.5603703,77.0597397,15
1392,28.5604411,77.2022513,11
1393,28.56055,77.2614803,14
1394,28.5605891,77.2070525,11
1395,28.5605958,77.2070448,11
1396,28.560653,77.0586025,15
1397,28.5607042,77.2536026,-1
1398,28.5607706,77.2311301,2
1399,28.5609196,77.2815802,-1
1400,28.5609255,77.1620076,12
1401,28.5609535,77.1598368,12
1402,28.5610013,77.1888793,11
1403,28.5611545,77.0591164,15
1404,28.5612101,77.2673019,14
1405,28.5612191,77.2227581,2
1406,28.5612218,77.222679,2
1407,28.5612427,77.2669792,14
1408,28.5612916,77.2315281,2
1409,28.5612991,77.2796752,-1
1410,28.561387,77.2404527,2
1411,28.561387,77.2688014,14
1412,28.5614184,77.1939656,11
1413,28.5614244,77.2688764,14
1414,28.5614441,77.2227829,2
1415,28.5614446,77.1676034,12
1416,28.561458,77.1939495,11
1417,28.5614698,77.1937906,11
1418,28.5614854,77.1939491,11
1419,28.5614968,77.2686683,14
1420,28.5615898,77.2678204,14
1421,28.5615953,77.0600294,15
1422,28.5616402,77.2538478,2
1423,28.5616427,77.2537827,2
1424,28.561674,77.0208894,-1
1425,28.5616933,77.2684746,14
1426,28.5617871,77.2407596,2
1427,28.5618497,77.0527553,-1
1428,28.5618567,77.2682749,14
1429,28.5618572,77.2076233,11
1430,28.5620676,77.193449,11
1431,28.5621417,77.2567814,-1
1432,28.5621612,77.2449818,2
1433,28.5621742,77.2318251,2
1434,28.5622125,77.244929,2
1435,28.5622178,77.2449559,2
